Round,spieltag,teamname,Date.x,Time.x,Comp.x,Day.x,Venue.x,Result.x,GF.x,GA.x,Opponent.x,xG.x,xGA,Poss.x,Attendance,Captain,Formation,Referee,Match.Report,Notes,Date.y,Time.y,Comp.y,Day.y,Venue.y,Result.y,GF.y,GA.y,Opponent.y,Gls,Sh.x,SoT,SoT%,G/Sh,G/SoT,Dist,FK.x,PK,PKatt.x,xG.y,npxG,npxG/Sh,G-xG,np:G-xG,Match Report.x,Date.x,Time.x,Comp.x,Day.x,Venue.x,Result.x,GF.x,GA.x,Opponent.x,SoTA,GA.x,Saves,Save%,CS,PSxG,PSxG+/-,PKatt.y,PKA,PKsv,PKm,Cmp.x,Att.x,Cmp%.x,Att.x,Thr,Launch%,AvgLen,Att.x,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report.y,Date.y,Time.y,Comp.y,Day.y,Venue.y,Result.y,GF.y,GA.y,Opponent.y,Cmp.y,Att.y,Cmp%.y,TotDist.x,PrgDist.x,Cmp.y,Att.y,Cmp%.y,Cmp.y,Att.y,Cmp%.y,Cmp.y,Att.y,Cmp%.y,Ast,xAG,xA,KP,1/3.x,PPA,CrsPA,PrgP,Match Report.x,Date.x,Time.x,Comp.x,Day.x,Venue.x,Result.x,GF.x,GA.x,Opponent.x,Att.x,Live.x,Dead,FK.y,TB,Sw,Crs.x,TI,CK,In,Out,Str,Cmp,Off.x,Blocks.x,Match Report.y,Date.y,Time.y,Comp.y,Day.y,Venue.y,Result.y,GF.y,GA.y,Opponent.y,SCA,PassLive,PassDead,TO,Sh.y,Fld.x,Def,GCA,PassLive,PassDead,TO,Sh.y,Fld.x,Def,Match Report.x,Date.x,Time.x,Comp.x,Day.x,Venue.x,Result.x,GF.x,GA.x,Opponent.x,Tkl,TklW.x,Def 3rd.x,Mid 3rd.x,Att 3rd.x,Tkl,Att.y,Tkl%,Lost.x,Blocks.y,Sh,Pass,Int.x,Tkl+Int,Clr,Err,Match Report.y,Date.y,Time.y,Comp.y,Day.y,Venue.y,Result.y,GF.y,GA.y,Opponent.y,Poss.y,Touches,Def Pen,Def 3rd.y,Mid 3rd.y,Att 3rd.y,Att Pen,Live.y,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist.y,PrgDist.y,PrgC,1/3.y,CPA,Mis,Dis,Rec,PrgR,Match Report.x,Date,Time,Comp,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld.y,Off.y,Crs.y,Int.y,TklW.y,PKwon,PKcon,OG,Recov,Won,Lost.y,Won%,Match Report.y
Matchweek 1,1,Bayern Munich,2022-08-05,20:30,Bundesliga,Fri,Away,W,6,1,Eint Frankfurt,4,0.9,63,"51,500",Manuel Neuer,4-4-2,Deniz Aytekin,Match Report,,2022-08-05,20:30,Bundesliga,Fri,Away,W,6,1,Eint Frankfurt,6,23,10,43.5,0.26,0.60,16.6,1,0,0,4.0,4.0,0.18,+2.0,+2.0,Match Report,2022-08-05,20:30,Bundesliga,Fri,Away,W,6,1,Eint Frankfurt,2,1,1,50.0,0,0.4,-0.6,0,0,0,0,3,6,50.0,41,8,14.6,25.4,4,0.0,22.8,10,0,0.0,3,24.7,Match Report,2022-08-05,20:30,Bundesliga,Fri,Away,W,6,1,Eint Frankfurt,572,661,86.5,10072,3374,256,282,90.8,258,288,89.6,52,74,70.3,4,3.3,3.2,16,32,9,1,53,Match Report,2022-08-05,20:30,Bundesliga,Fri,Away,W,6,1,Eint Frankfurt,661,623,35,12,7,4,14,11,6,1,4,0,572,3,4,Match Report,2022-08-05,20:30,Bundesliga,Fri,Away,W,6,1,Eint Frankfurt,38,30,3,1,3,1,0,11,8,0,1,1,1,0,Match Report,2022-08-05,20:30,Bundesliga,Fri,Away,W,6,1,Eint Frankfurt,20,10,15,3,2,15,25,60.0,10,8,1,7,11,31,16,1,Match Report,2022-08-05,20:30,Bundesliga,Fri,Away,W,6,1,Eint Frankfurt,63,784,72,211,415,165,30,784,20,9,45.0,7,35.0,531,2291,1232,17,13,6,15,9,570,53,Match Report,2022-08-05,20:30,Bundesliga,Fri,Away,W,6,1,Eint Frankfurt,0,0,0,11,10,3,14,11,10,0,0,0,62,3,6,33.3,Match Report
Matchweek 10,10,Bayern Munich,2022-10-16,19:30,Bundesliga,Sun,Home,W,5,0,Freiburg,2.1,0.3,66,"75,000",Joshua Kimmich,4-2-3-1,Sascha Stegemann,Match Report,,2022-10-16,19:30,Bundesliga,Sun,Home,W,5,0,Freiburg,5,16,8,50.0,0.31,0.63,18.4,0,0,0,2.1,2.1,0.13,+2.9,+2.9,Match Report,2022-10-16,19:30,Bundesliga,Sun,Home,W,5,0,Freiburg,0,0,0,,1,0.0,0.0,0,0,0,0,1,9,11.1,49,7,18.4,26.9,5,0.0,15.0,7,0,0.0,0,11.0,Match Report,2022-10-16,19:30,Bundesliga,Sun,Home,W,5,0,Freiburg,565,652,86.7,9771,3334,249,276,90.2,267,294,90.8,39,60,65.0,3,1.3,1.1,9,34,13,0,55,Match Report,2022-10-16,19:30,Bundesliga,Sun,Home,W,5,0,Freiburg,652,608,42,9,1,2,14,22,5,1,3,0,565,2,7,Match Report,2022-10-16,19:30,Bundesliga,Sun,Home,W,5,0,Freiburg,25,23,0,0,2,0,0,7,6,0,0,1,0,0,Match Report,2022-10-16,19:30,Bundesliga,Sun,Home,W,5,0,Freiburg,9,6,7,1,1,4,10,40.0,6,8,4,4,3,12,14,0,Match Report,2022-10-16,19:30,Bundesliga,Sun,Home,W,5,0,Freiburg,66,743,86,302,277,173,35,743,19,10,52.6,7,36.8,525,2306,1054,22,12,8,15,7,560,55,Match Report,2022-10-16,19:30,Bundesliga,Sun,Home,W,5,0,Freiburg,0,0,0,8,9,2,14,3,6,0,0,0,52,13,12,52.0,Match Report
Matchweek 11,11,Bayern Munich,2022-10-22,15:30,Bundesliga,Sat,Away,W,2,0,Hoffenheim,2.4,0.8,58,"30,150",Joshua Kimmich,4-2-3-1,Sven Jablonski,Match Report,,2022-10-22,15:30,Bundesliga,Sat,Away,W,2,0,Hoffenheim,2,21,9,42.9,0.10,0.22,13.9,0,0,0,2.4,2.4,0.12,-0.4,-0.4,Match Report,2022-10-22,15:30,Bundesliga,Sat,Away,W,2,0,Hoffenheim,3,0,3,100.0,1,0.6,+0.6,0,0,0,0,6,14,42.9,36,9,30.6,28.4,7,42.9,35.1,15,1,6.7,1,16.0,Match Report,2022-10-22,15:30,Bundesliga,Sat,Away,W,2,0,Hoffenheim,455,561,81.1,7650,3044,235,268,87.7,170,198,85.9,41,68,60.3,2,2.2,2.1,17,25,11,2,44,Match Report,2022-10-22,15:30,Bundesliga,Sat,Away,W,2,0,Hoffenheim,561,509,47,15,2,7,15,19,5,2,3,0,455,5,5,Match Report,2022-10-22,15:30,Bundesliga,Sat,Away,W,2,0,Hoffenheim,37,26,4,0,6,0,1,3,2,0,0,1,0,0,Match Report,2022-10-22,15:30,Bundesliga,Sat,Away,W,2,0,Hoffenheim,27,19,13,10,4,7,13,53.8,6,11,0,11,10,37,18,0,Match Report,2022-10-22,15:30,Bundesliga,Sat,Away,W,2,0,Hoffenheim,58,700,78,251,278,180,40,700,19,5,26.3,10,52.6,434,2240,1217,30,24,13,21,11,445,43,Match Report,2022-10-22,15:30,Bundesliga,Sat,Away,W,2,0,Hoffenheim,2,0,0,8,12,5,15,10,19,0,0,0,71,14,7,66.7,Match Report
Matchweek 12,12,Bayern Munich,2022-10-29,15:30,Bundesliga,Sat,Home,W,6,2,Mainz 05,3.1,2.2,69,"75,000",Joshua Kimmich,4-2-3-1,Felix Zwayer,Match Report,,2022-10-29,15:30,Bundesliga,Sat,Home,W,6,2,Mainz 05,6,23,12,52.2,0.26,0.50,15.3,0,0,1,3.1,2.2,0.10,+2.9,+3.8,Match Report,2022-10-29,15:30,Bundesliga,Sat,Home,W,6,2,Mainz 05,5,2,2,60.0,0,1.8,-0.2,1,0,1,0,2,3,66.7,27,5,11.1,21.1,6,0.0,16.7,12,1,8.3,3,22.0,Match Report,2022-10-29,15:30,Bundesliga,Sat,Home,W,6,2,Mainz 05,561,640,87.7,9886,3520,247,269,91.8,263,283,92.9,46,70,65.7,5,2.1,1.7,21,60,10,3,66,Match Report,2022-10-29,15:30,Bundesliga,Sat,Home,W,6,2,Mainz 05,640,600,39,11,0,3,21,12,8,3,4,0,561,1,8,Match Report,2022-10-29,15:30,Bundesliga,Sat,Home,W,6,2,Mainz 05,44,33,2,5,3,1,0,11,9,0,1,1,0,0,Match Report,2022-10-29,15:30,Bundesliga,Sat,Home,W,6,2,Mainz 05,7,4,1,5,1,6,9,66.7,3,14,3,11,9,16,12,1,Match Report,2022-10-29,15:30,Bundesliga,Sat,Home,W,6,2,Mainz 05,69,744,67,212,345,195,31,743,18,10,55.6,6,33.3,505,2677,1341,31,13,9,14,6,555,66,Match Report,2022-10-29,15:30,Bundesliga,Sat,Home,W,6,2,Mainz 05,1,0,0,10,10,1,21,9,4,1,1,0,61,15,10,60.0,Match Report
Matchweek 13,13,Bayern Munich,2022-11-05,15:30,Bundesliga,Sat,Away,W,3,2,Hertha BSC,1.9,1.2,72,"74,667",Manuel Neuer,4-2-3-1,Bastian Dankert,Match Report,,2022-11-05,15:30,Bundesliga,Sat,Away,W,3,2,Hertha BSC,3,14,4,28.6,0.21,0.75,17.1,1,0,0,1.9,1.9,0.14,+1.1,+1.1,Match Report,2022-11-05,15:30,Bundesliga,Sat,Away,W,3,2,Hertha BSC,6,2,4,83.3,0,2.0,0.0,1,1,0,0,2,7,28.6,29,7,17.2,27.2,4,50.0,40.0,7,0,0.0,3,20.2,Match Report,2022-11-05,15:30,Bundesliga,Sat,Away,W,3,2,Hertha BSC,521,630,82.7,9135,3343,241,275,87.6,213,243,87.7,57,83,68.7,1,1.2,1.2,10,40,16,0,50,Match Report,2022-11-05,15:30,Bundesliga,Sat,Away,W,3,2,Hertha BSC,630,570,58,18,1,2,16,26,7,3,3,1,521,2,10,Match Report,2022-11-05,15:30,Bundesliga,Sat,Away,W,3,2,Hertha BSC,24,17,1,3,1,1,1,4,2,0,1,1,0,0,Match Report,2022-11-05,15:30,Bundesliga,Sat,Away,W,3,2,Hertha BSC,19,12,5,9,5,5,13,38.5,8,4,0,4,13,32,19,0,Match Report,2022-11-05,15:30,Bundesliga,Sat,Away,W,3,2,Hertha BSC,72,759,65,237,332,201,33,759,27,11,40.7,13,48.1,508,2404,1165,18,17,6,19,17,517,49,Match Report,2022-11-05,15:30,Bundesliga,Sat,Away,W,3,2,Hertha BSC,0,0,0,9,13,2,16,13,12,0,1,0,53,20,15,57.1,Match Report
